[LEXTOKEN] IDENTIFIER -> 'numeros' (line 53, pos 983)
[LEXTOKEN] LBRACKET -> '[' (line 53, pos 990)
[LEXTOKEN] IDENTIFIER -> 'i' (line 53, pos 991)
[LEXTOKEN] RBRACKET -> ']' (line 53, pos 992)
[LEXTOKEN] RPAREN -> ')' (line 53, pos 993)
[LEXTOKEN] IF -> 'if' (line 54, pos 997)
[LEXTOKEN] IDENTIFIER -> 'i' (line 54, pos 1000)
[LEXTOKEN] EQ -> '==' (line 54, pos 1002)
[LEXTOKEN] NUMBER -> '1' (line 54, pos 1005)
[LEXTOKEN] LBRACE -> '{' (line 54, pos 1007)
[LEXTOKEN] IDENTIFIER -> 'continue' (line 55, pos 1012)
[LEXTOKEN] RBRACE -> '}' (line 56, pos 1023)
[LEXTOKEN] IF -> 'if' (line 57, pos 1027)
[LEXTOKEN] IDENTIFIER -> 'i' (line 57, pos 1030)
[LEXTOKEN] EQ -> '==' (line 57, pos 1032)
[LEXTOKEN] NUMBER -> '2' (line 57, pos 1035)
[LEXTOKEN] LBRACE -> '{' (line 57, pos 1037)
[LEXTOKEN] IDENTIFIER -> 'break' (line 58, pos 1042)
[LEXTOKEN] RBRACE -> '}' (line 59, pos 1050)
[LEXTOKEN] RBRACE -> '}' (line 60, pos 1053)
[LEXTOKEN] IDENTIFIER -> 'resultado' (line 62, pos 1057)
[LEXTOKEN] COMMA -> ',' (line 62, pos 1066)
[LEXTOKEN] IDENTIFIER -> 'err' (line 62, pos 1068)
[LEXTOKEN] COLON -> ':' (line 62, pos 1072)
[LEXTOKEN] ASSIGN -> '=' (line 62, pos 1073)
[LEXTOKEN] IDENTIFIER -> 'dividir' (line 62, pos 1075)
[LEXTOKEN] LPAREN -> '(' (line 62, pos 1082)
[LEXTOKEN] NUMBER -> '10' (line 62, pos 1083)
[LEXTOKEN] COMMA -> ',' (line 62, pos 1085)
[LEXTOKEN] NUMBER -> '2' (line 62, pos 1087)
[LEXTOKEN] RPAREN -> ')' (line 62, pos 1088)
[LEXTOKEN] IF -> 'if' (line 64, pos 1092)
[LEXTOKEN] IDENTIFIER -> 'err' (line 64, pos 1095)
[LEXTOKEN] NEQ -> '!=' (line 64, pos 1099)
